id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-12-29 00:57:12,"{""short_code"":""UeWfmJ"",""original_url"":""https://opswise.net/young/uplink/1""}"
2,2,51,created,2025-05-08 08:27:51,"{""short_code"":""uHKNYv"",""original_url"":""https://opswise.net/quiet/journey/2""}"
3,3,374,created,2025-03-23 15:41:49,"{""short_code"":""9x50U9"",""original_url"":""https://example.com/forest/trail/3""}"
4,4,354,created,2026-01-27 07:10:59,"{""short_code"":""RGPPYi"",""original_url"":""https://seeded.app/mellow/yard/4""}"
5,5,191,created,2025-12-19 01:40:30,"{""short_code"":""IWgEYk"",""original_url"":""https://example.com/cobalt/beacon/5""}"
6,6,115,created,2025-05-06 18:04:03,"{""short_code"":""roW8k8"",""original_url"":""https://relay.cloud/ivory/trail/6""}"
7,7,189,created,2025-04-17 23:16:21,"{""short_code"":""R6SbNi"",""original_url"":""https://seeded.app/brisk/engine/7""}"
8,8,239,created,2025-09-01 00:23:56,"{""short_code"":""x5lBhj"",""original_url"":""https://acme.dev/keen/zenith/8""}"
9,9,9,created,2026-01-16 23:07:37,"{""short_code"":""MS1COI"",""original_url"":""https://relay.cloud/rapid/river/9""}"
10,10,244,created,2025-02-26 01:10:22,"{""short_code"":""hXdZCi"",""original_url"":""https://acme.dev/clear/kernel/10""}"
11,11,52,created,2025-08-31 01:51:15,"{""short_code"":""eG2buY"",""original_url"":""https://opswise.net/keen/pioneer/11""}"
12,12,65,created,2025-05-29 16:59:50,"{""short_code"":""KCXL7x"",""original_url"":""https://example.com/ivory/lagoon/12""}"
13,13,133,created,2025-10-26 16:31:29,"{""short_code"":""vOLOkJ"",""original_url"":""https://example.com/proud/canyon/13""}"
14,14,371,created,2026-02-05 09:28:35,"{""short_code"":""f1FsvT"",""original_url"":""https://seeded.app/gold/field/14""}"
15,15,312,created,2025-07-19 02:00:25,"{""short_code"":""omqBH5"",""original_url"":""https://seeded.app/silver/meadow/15""}"
16,16,316,created,2025-01-24 04:45:40,"{""short_code"":""xawhcE"",""original_url"":""https://opswise.net/gold/beacon/16""}"
17,17,112,created,2025-04-17 04:07:07,"{""short_code"":""d5t8hj"",""original_url"":""https://seeded.app/young/meadow/17""}"
18,18,325,created,2025-02-11 19:40:40,"{""short_code"":""3aPXD7"",""original_url"":""https://seeded.app/keen/garden/18""}"
19,19,335,created,2025-10-14 12:53:21,"{""short_code"":""ZxWllU"",""original_url"":""https://seeded.app/calm/harvest/19""}"
20,20,187,created,2025-07-05 17:59:40,"{""short_code"":""iYmJ0F"",""original_url"":""https://seeded.app/harbor/orbit/20""}"
21,21,184,created,2026-01-15 18:04:24,"{""short_code"":""pHGXwU"",""original_url"":""https://seeded.app/dawn/island/21""}"
22,22,128,created,2025-02-19 22:18:13,"{""short_code"":""2EL0aV"",""original_url"":""https://hackstack.io/ivory/yard/22""}"
23,23,342,created,2026-01-06 05:57:25,"{""short_code"":""U4AWJW"",""original_url"":""https://hackstack.io/amber/quartz/23""}"
24,24,117,created,2025-03-10 13:17:01,"{""short_code"":""PunxRd"",""original_url"":""https://acme.dev/warm/signal/24""}"
25,25,326,created,2025-02-21 18:42:34,"{""short_code"":""FoDWBX"",""original_url"":""https://relay.cloud/rapid/garden/25""}"
26,26,246,created,2025-11-30 14:52:10,"{""short_code"":""D3goLQ"",""original_url"":""https://opswise.net/proud/meadow/26""}"
27,27,36,created,2025-05-18 17:25:07,"{""short_code"":""p1h3Iq"",""original_url"":""https://relay.cloud/warm/trail/27""}"
28,28,65,created,2025-12-05 09:57:36,"{""short_code"":""b4k6aK"",""original_url"":""https://opswise.net/lively/anchor/28""}"
29,29,249,created,2026-02-08 06:45:34,"{""short_code"":""48Eimc"",""original_url"":""https://acme.dev/jade/river/29""}"
30,30,57,created,2025-04-02 22:52:42,"{""short_code"":""bG0288"",""original_url"":""https://relay.cloud/harbor/network/30""}"
31,31,271,created,2025-03-22 10:35:58,"{""short_code"":""KLojtQ"",""original_url"":""https://seeded.app/urban/river/31""}"
32,32,17,created,2025-04-10 15:07:10,"{""short_code"":""cnZVIL"",""original_url"":""https://seeded.app/urban/garden/32""}"
33,33,255,created,2025-09-28 20:50:22,"{""short_code"":""ogajRS"",""original_url"":""https://acme.dev/harbor/lagoon/33""}"
34,34,371,created,2025-07-24 01:13:33,"{""short_code"":""N6tF7E"",""original_url"":""https://relay.cloud/clear/field/34""}"
35,35,285,created,2025-05-26 09:02:15,"{""short_code"":""H0B7LB"",""original_url"":""https://example.com/brisk/field/35""}"
36,36,32,created,2025-04-06 12:30:25,"{""short_code"":""EMElAn"",""original_url"":""https://seeded.app/navy/harvest/36""}"
37,37,392,created,2025-09-13 01:40:49,"{""short_code"":""aCyNdi"",""original_url"":""https://opswise.net/brisk/journey/37""}"
38,38,358,created,2025-10-14 15:41:21,"{""short_code"":""44viBf"",""original_url"":""https://relay.cloud/navy/quartz/38""}"
39,39,319,created,2025-01-06 04:05:30,"{""short_code"":""JBRAav"",""original_url"":""https://acme.dev/vivid/garden/39""}"
40,40,318,created,2025-12-23 22:58:13,"{""short_code"":""9ljszD"",""original_url"":""https://acme.dev/keen/valley/40""}"
41,41,76,created,2025-07-24 22:04:56,"{""short_code"":""1CwR0Z"",""original_url"":""https://hackstack.io/harbor/pioneer/41""}"
42,42,31,created,2025-11-07 18:56:38,"{""short_code"":""oOnJFB"",""original_url"":""https://seeded.app/navy/orbit/42""}"
43,43,149,created,2026-02-01 17:22:50,"{""short_code"":""GAii6p"",""original_url"":""https://acme.dev/jade/garden/43""}"
44,44,7,created,2025-08-28 23:29:41,"{""short_code"":""mJqXuk"",""original_url"":""https://relay.cloud/brisk/kernel/44""}"
45,45,31,created,2025-11-18 11:38:40,"{""short_code"":""pdC558"",""original_url"":""https://seeded.app/ivory/valley/45""}"
46,46,181,created,2025-03-21 02:11:57,"{""short_code"":""rSSehT"",""original_url"":""https://hackstack.io/calm/river/46""}"
47,47,201,created,2025-10-25 05:24:48,"{""short_code"":""CQIsjU"",""original_url"":""https://opswise.net/gold/zenith/47""}"
